Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
LBN 942;;LBN 205.70-21.89;HII Region;Orion;"05h 20' 00""""";"-03º 48' 00""""";;1.7º x 10';;;"05h 21' 15""""";"-03º 46' 34"""""
LDN 376;;;Dark Nebula;Scutum;"18h 22' 54""""";"-14º 38' 00""""";;51' x 51';;;"18h 24' 20""""";"-14º 37' 08"""""
HCG 68;;;Compact Group of Galaxies;Canes Venatici;"13h 53' 41""""";"40º 19' 07""""";09.maj;9.2' x 9.2';23.0;;"13h 54' 45""""";"40º 11' 44"""""
LBN 307;;LBN 081.44-07.16;HII Region;Cygnus;"21h 09' 00""""";"37º 12' 00""""";;3.8º x 1.2º;;;"21h 10' 00""""";"37º 18' 11"""""
SH 2-170;;LBN 577,LBN 117.62+02.29;HII Region;Cassiopeia;"00h 01' 29""""";"64º 39' 00""""";;20';;;"00h 02' 47""""";"64º 47' 25"""""
NGC 6910;;OCL 181;Open Cluster;Cygnus;"20h 23' 11""""";"40º 46' 18""""";07.kwi;11' x 11';21.0;;"20h 24' 05""""";"40º 51' 14"""""
LDN 909;;;Dark Nebula;Cygnus;"20h 19' 36""""";"45º 10' 00""""";;2º x 2º;;;"20h 20' 26""""";"45º 14' 49"""""
LBN 779;;LBN 168.34-20.57;HII Region;Taurus;"04h 01' 00""""";"25º 06' 00""""";;2.5º x 1º;;;"04h 02' 31""""";"25º 10' 09"""""
NGC 6605;;IRAS 18141-1501,IRAS 18143-1500;Open Cluster;Serpens;"18h 17' 00""""";"-15º 00' 40""""";6.0;29';45921;;"18h 18' 26""""";"-15º 00' 01"""""
LBN 522;;LBN 108.98+02.80;HII Region;Cepheus;"22h 47' 00""""";"62º 18' 00""""";;9º x 1.5º;;;"22h 47' 57""""";"62º 26' 00"""""
LBN 226;;LBN 077.13-01.16;HII Region;Cygnus;"20h 32' 00""""";"37º 42' 00""""";;1.8º x 1º;;;"20h 32' 57""""";"37º 47' 12"""""
LBN 400;;LBN 087.74-04.32;HII Region;Cygnus;"21h 21' 00""""";"43º 42' 00""""";;1.5º x 15';;;"21h 21' 57""""";"43º 48' 29"""""
SH 2-44;;;HII Region;Sagittarius;"18h 16' 30""""";"-16º 44' 00""""";;1º;;;"18h 17' 58""""";"-16º 43' 22"""""
SH 2-173;;LBN 593,LBN 119.57-00.92;HII Region;Cassiopeia;"00h 21' 16""""";"61º 43' 30""""";;30';;;"00h 22' 39""""";"61º 51' 52"""""
CL STOCK 8;;;Open Cluster;Auriga;"05h 27' 49""""";"34º 27' 07""""";;18' x 18';;;"05h 29' 30""""";"34º 28' 16"""""
LBN 261;;LBN 079.45+01.73;HII Region;Cygnus;"20h 27' 00""""";"41º 18' 00""""";;25' x 15';;;"20h 27' 54""""";"41º 23' 03"""""
LBN 263;;LBN 079.61-02.48;HII Region;Cygnus;"20h 45' 00""""";"38º 54' 00""""";;2.2º x 30';;;"20h 45' 57""""";"38º 59' 34"""""
LBN 576;;LBN 116.81+00.03;HII Region;Cassiopeia;"23h 59' 00""""";"62º 18' 00""""";;30' x 2';;;"00h 00' 17""""";"62º 26' 25"""""
LBN 358;;LBN 084.81+03.88;HII Region;Cygnus;"20h 35' 00""""";"46º 54' 00""""";;1º x 40';;;"20h 35' 49""""";"46º 59' 17"""""
LBN 369;;LBN 085.62-03.32;HII Region;Cygnus;"21h 09' 00""""";"42º 54' 00""""";;40' x 10';;;"21h 09' 56""""";"43º 00' 11"""""
SH 2-114;;LBN 347,LBN 084.24-07.79;HII Region;Cygnus;"21h 21' 12""""";"38º 42' 00""""";;9';;;"21h 22' 12""""";"38º 48' 29"""""
IC 4665;;CL MELOTTE 179,CL COLLINDER 349,OCL 85.0;Open Cluster;Ophiuchus;"17h 46' 13""""";"05º 36' 54""""";04.lut;1º x 1º;45679;;"17h 47' 27""""";"05º 36' 25"""""
LDN 386;;;Dark Nebula;Serpens;"18h 12' 48""""";"-11º 59' 00""""";;4.3º x 4.3º;;;"18h 14' 13""""";"-11º 58' 30"""""
LBN 738;;LBN 158.14-13.85;HII Region;Perseus;"03h 48' 00""""";"36º 42' 00""""";;5º x 2º;;;"03h 49' 39""""";"36º 46' 33"""""
SH 2-41;;LBN 51,LBN 012.95-00.58;HII Region;Sagittarius;"18h 15' 48""""";"-18º 14' 00""""";;1.5º;;;"18h 17' 16""""";"-18º 13' 24"""""
LBN 315;;LBN 082.24+02.85;HII Region;Cygnus;"20h 31' 00""""";"44º 12' 00""""";;1.5º x 1º;;;"20h 31' 52""""";"44º 17' 10"""""
LBN 162;;LBN 070.95+00.74;HII Region;Cygnus;"20h 07' 00""""";"33º 36' 00""""";;3º x 3º;;;"20h 07' 58""""";"33º 40' 26"""""
LDN 1275;;;Dark Nebula;Cepheus;"00h 06' 36""""";"67º 27' 00""""";;9' x 9';;;"00h 07' 56""""";"67º 35' 24"""""
BARNARD 38;;;Dark Nebula;Monoceros;"06h 33' 42""""";"11º 04' 00""""";;1º;;;"06h 35' 06""""";"11º 02' 45"""""
LDN 1452;;;Dark Nebula;Aries;"03h 28' 06""""";"30º 40' 00""""";;1.8º x 1.3º;;;"03h 29' 39""""";"30º 45' 09"""""
LDN 866;;;Dark Nebula;Cygnus;"20h 07' 06""""";"37º 47' 00""""";;25' x 25';;;"20h 08' 01""""";"37º 51' 27"""""
SH 2-290;;PN A66 31,PK 219+31 1,IRAS 08515+0905;Planetary Nebula;Cancer;"08h 54' 13""""";"08º 53' 53""""";;16' x 16';;;"08h 55' 34""""";"08º 48' 04"""""
LBN 316;;LBN 082.31-06.63;HII Region;Cygnus;"21h 10' 00""""";"38º 12' 00""""";;2.7º x 20';;;"21h 11' 00""""";"38º 18' 13"""""
CL COLLINDER 106;;OCL 510,IRAS 06346+0600;Open Cluster;Monoceros;"06h 37' 07""""";"06º 00' 07""""";;22' x 22';;;"06h 38' 28""""";"05º 58' 44"""""
LBN 402;;LBN 087.97-03.84;HII Region;Cygnus;"21h 20' 00""""";"44º 12' 00""""";;1º x 30';;;"21h 20' 56""""";"44º 18' 27"""""
NGC 5466;;CL MELOTTE 124;Globular Cluster;Boötes;"14h 05' 27""""";"28º 32' 04""""";09.lip;11' x 11';45800;;"14h 06' 35""""";"28º 24' 54"""""
LDN 1217;;;Dark Nebula;Cepheus;"22h 13' 06""""";"70º 45' 00""""";;52' x 28';;;"22h 13' 40""""";"70º 52' 31"""""
LBN 401;;LBN 087.77-04.81;HII Region;Cygnus;"21h 23' 00""""";"43º 24' 00""""";;1.7º x 40';;;"21h 23' 57""""";"43º 30' 31"""""
BARNARD 7;;;Dark Nebula;Taurus;"04h 17' 24""""";"28º 33' 00""""";;1º x 1º;;;"04h 18' 58""""";"28º 36' 37"""""
NGC 663;;OCL 333,OCL 333.0,C 10,CL MELOTTE 11;Open Cluster;Cassiopeia;"01h 46' 21""""";"61º 12' 42""""";07.sty;18' x 18';45829;;"01h 48' 06""""";"61º 20' 12"""""
LBN 952;;LBN 206.87+00.13;HII Region;Monoceros;"06h 41' 00""""";"05º 30' 00""""";;3.3º x 1.5º;;;"06h 42' 21""""";"05º 28' 29"""""
IC 2088;;;Emission Nebula;Taurus;"04h 43' 00""""";"27º 00' 00""""";;6º;;;"04h 44' 34""""";"27º 02' 45"""""
LBN 190;;LBN 074.27+03.59;HII Region;Cygnus;"20h 04' 00""""";"37º 54' 00""""";;1º x 20';;;"20h 04' 55""""";"37º 58' 21"""""
SH 2-91;;LBN 147,LBN 064.22+04.16;HII Region;Cygnus;"19h 35' 36""""";"29º 36' 00""""";;2º;;;"19h 36' 36""""";"29º 39' 25"""""
LDN 846;;;Dark Nebula;Vulpecula;"20h 42' 06""""";"29º 11' 00""""";;1.7º x 1.7º;;;"20h 43' 09""""";"29º 16' 29"""""
CTB 88;;;Supernova Remnant;Cygnus;"20h 19' 00""""";"45º 30' 00""""";;1.6º x 1.1º;;;"20h 19' 49""""";"45º 34' 48"""""
SH 2-216;;LBN 744,LBN 158.73+00.83,PK 158+00 1;Planetary Nebula;Perseus;"04h 43' 21""""";"46º 42' 06""""";;1.3º;;;"04h 45' 12""""";"46º 44' 50"""""
LBN 362;;LBN 084.97+04.21;HII Region;Cygnus;"20h 34' 00""""";"47º 12' 00""""";;1º x 5';;;"20h 34' 49""""";"47º 17' 15"""""
SH 2-140;;LBN 505,LBN 106.60+05.16;Open Cluster;Cepheus;"22h 19' 08""""";"63º 17' 07""""";;35' x 25';;;"22h 19' 57""""";"63º 24' 44"""""
NGC 5053;;;Globular Cluster;Coma Berenices;"13h 16' 27""""";"17º 42' 01""""";10.0;9.6' x 9.6';45800;;"13h 17' 41""""";"17º 34' 04"""""
LDN 1134;;;Dark Nebula;Cepheus;"21h 41' 30""""";"60º 14' 00""""";;1.6º x 1.6º;;;"21h 42' 14""""";"60º 20' 56"""""
SH 2-134;;LBN 490,LBN 104.28+02.09;HII Region;Cepheus;"22h 12' 44""""";"58º 59' 56""""";;2.7º;;;"22h 13' 36""""";"59º 07' 27"""""
NGC 2149;;IRAS 06010-0943;Reflection Nebula;Monoceros;"06h 03' 28""""";"-09º 43' 57""""";;3.4º x 3.4º;;;"06h 04' 40""""";"-09º 44' 06"""""
LBN 232;;LBN 077.47+06.04;HII Region;Cygnus;"20h 02' 00""""";"41º 54' 00""""";;2º x 10';;;"20h 02' 51""""";"41º 58' 17"""""
LDN 1216;;IRAS 22507+6208;Dark Nebula;Cepheus;"22h 52' 44""""";"62º 24' 14""""";;10' x 6';;;"22h 53' 43""""";"62º 32' 17"""""
MCG +00-39-016;Serpens Dwarf;UGC 9792,Z 21-61,Z 1513.5+0003,CL PAL 5;Globular Cluster;Serpens;"15h 16' 05""""";"-00º 06' 41""""";;9.6' x 9.6';;;"15h 17' 23""""";"-00º 12' 11"""""
LDN 999;;;Dark Nebula;Cygnus;"21h 07' 36""""";"50º 42' 00""""";;2.7º x 1º;;;"21h 08' 25""""";"50º 48' 09"""""
LBN 932;;LBN 204.50-01.16;HII Region;Monoceros;"06h 32' 00""""";"07º 00' 00""""";;55' x 10';;;"06h 33' 22""""";"06º 58' 48"""""
LBN 198;;LBN 075.16-01.86;HII Region;Cygnus;"20h 29' 00""""";"35º 42' 00""""";;2.2º x 1º;;;"20h 29' 58""""";"35º 47' 06"""""
NGC 188;;CL MELOTTE 2,OCL 309.0,C 1;Open Cluster;Cepheus;"00h 47' 12""""";"85º 14' 38""""";08.sty;33' x 33';45830;;"00h 49' 55""""";"85º 22' 51"""""
LBN 749;;LBN 159.59-18.51;HII Region;Perseus;"03h 39' 00""""";"32º 12' 00""""";;2.5º x 1º;;;"03h 40' 35""""";"32º 16' 50"""""
LBN 71;;LBN 018.13+01.42;HII Region;Serpens;"18h 19' 00""""";"-12º 30' 00""""";;1.3º x 30';;;"18h 20' 25""""";"-12º 29' 17"""""
NGC 4437;;NGC 4517,MCG +00-32-020,PGC 41618,UGC 7694,Z 14-63,Z 1230.2+0024,IRAS 12301+0023,IRAS F12301+0023;Spiral Galaxy;Virgo;"12h 32' 46""""";"00º 06' 54""""";10.kwi;10' x 1.6';22.0;;"12h 34' 03""""";"-00º 01' 25"""""
LDN 1564;;;Dark Nebula;Gemini;"06h 18' 00""""";"23º 14' 00""""";;11' x 11';;;"06h 19' 32""""";"23º 13' 19"""""
LBN 273;;LBN 080.08+02.42;HII Region;Cygnus;"20h 26' 00""""";"42º 12' 00""""";;22' x 10';;;"20h 26' 53""""";"42º 17' 01"""""
LBN 895;;LBN 200.85+00.49;HII Region;Monoceros;"06h 31' 00""""";"11º 00' 00""""";;2º x 40';;;"06h 32' 24""""";"10º 58' 50"""""
LDN 897;;;Dark Nebula;Cygnus;"20h 24' 42""""";"42º 10' 00""""";;20' x 20';;;"20h 25' 35""""";"42º 14' 59"""""
LDN 621;;;Dark Nebula;Serpens;"18h 47' 30""""";"03º 13' 00""""";;6.7º x 6.7º;;;"18h 48' 46""""";"03º 14' 45"""""
LBN 787;;LBN 171.10+00.22;HII Region;Auriga;"05h 23' 00""""";"36º 30' 00""""";;3º x 20';;;"05h 24' 42""""";"36º 31' 19"""""
LBN 179;;LBN 072.53+01.52;HII Region;Cygnus;"20h 08' 00""""";"35º 18' 00""""";;25' x 10';;;"20h 08' 57""""";"35º 22' 28"""""
SH 2-202;;LBN 677,LBN 140.07+01.64;HII Region;Camelopardalis;"03h 18' 54""""";"59º 38' 00""""";;2.8º;;;"03h 20' 55""""";"59º 43' 25"""""
NGC 6633;;CL MELOTTE 201;Open Cluster;Ophiuchus;"18h 27' 23""""";"06º 36' 54""""";04.cze;43' x 43';45857;;"18h 28' 36""""";"06º 37' 55"""""
LBN 216;;LBN 076.27+04.17;HII Region;Cygnus;"20h 07' 00""""";"39º 54' 00""""";;45' x 20';;;"20h 07' 54""""";"39º 58' 26"""""
IC 1824;;;Open Cluster;Cassiopeia;"02h 42' 36""""";"61º 35' 42""""";06.lip;15';21.21;;"02h 44' 34""""";"61º 42' 03"""""
LBN 705;;LBN 150.69-00.90;HII Region;Perseus;"04h 04' 00""""";"51º 18' 00""""";;25' x 25';;;"04h 05' 54""""";"51º 22' 03"""""
LDN 1566;;;Dark Nebula;Gemini;"06h 21' 00""""";"23º 09' 00""""";;14' x 14';;;"06h 22' 32""""";"23º 08' 12"""""
LBN 923;;LBN 203.79-25.48;HII Region;Eridanus;"05h 06' 20""""";"-03º 56' 00""""";;2º x 1º;;;"05h 07' 35""""";"-03º 54' 04"""""
LBN 404;;LBN 088.83-03.99;HII Region;Cygnus;"21h 24' 00""""";"44º 42' 00""""";;1.5º x 1º;;;"21h 24' 56""""";"44º 48' 33"""""
LBN 177;;LBN 072.01+01.92;HII Region;Cygnus;"20h 05' 00""""";"35º 06' 00""""";;20' x 5';;;"20h 05' 57""""";"35º 10' 23"""""
SH 2-284;;LBN 983,LBN 211.65-01.51;HII Region;Monoceros;"06h 45' 28""""";"00º 17' 48""""";;1.3º;;;"06h 46' 46""""";"00º 16' 07"""""
LBN 304;;LBN 081.37-04.84;HII Region;Cygnus;"21h 00' 00""""";"38º 42' 00""""";;2.2º x 13';;;"21h 00' 58""""";"38º 47' 58"""""
SH 2-280;;LBN 970;HII Region;Monoceros;"06h 34' 22""""";"02º 28' 06""""";;40';;;"06h 35' 41""""";"02º 26' 49"""""
NGC 7762;;CL MELOTTE 244,CL COLLINDER 457,OCL 280;Open Cluster;Cepheus;"23h 49' 53""""";"68º 02' 06""""";10.0;20' x 20';45801;;"23h 51' 07""""";"68º 10' 30"""""
LBN 793;;LBN 172.09-14.64;HII Region;Taurus;"04h 31' 00""""";"26º 36' 00""""";;6º x 2º;;;"04h 32' 33""""";"26º 39' 10"""""
LBN 1123;;LBN 359.39+18.77;HII Region;Ophiuchus;"16h 37' 00""""";"-18º 36' 00""""";;3.5º x 2.5º;;;"16h 38' 28""""";"-18º 38' 57"""""
LDN 405;;;Dark Nebula;Scutum;"18h 22' 48""""";"-11º 28' 00""""";;3.2º x 3.2º;;;"18h 24' 12""""";"-11º 27' 08"""""
LDN 1638;;;Dark Nebula;Orion;"05h 57' 30""""";"-02º 30' 00""""";;1.6º x 1.6º;;;"05h 58' 46""""";"-02º 29' 56"""""
LBN 352;;LBN 084.57+04.76;HII Region;Cygnus;"20h 30' 00""""";"47º 12' 00""""";;1.4º x 30';;;"20h 30' 49""""";"47º 17' 08"""""
LDN 1005;;;Dark Nebula;Cygnus;"21h 13' 42""""";"50º 42' 00""""";;2.7º x 1º;;;"21h 14' 32""""";"50º 48' 18"""""
LBN 966;;LBN 207.98-13.15;HII Region;Orion;"05h 56' 00""""";"-01º 42' 00""""";;1.5º x 50';;;"05h 57' 16""""";"-01º 41' 53"""""
LBN 890;;LBN 199.76-18.21;HII Region;Orion;"05h 23' 00""""";"02º 48' 00""""";;2º x 30';;;"05h 24' 19""""";"02º 49' 20"""""
LBN 800;;LBN 173.19-16.48;HII Region;Taurus;"04h 28' 00""""";"24º 36' 00""""";;5º x 30';;;"04h 29' 32""""";"24º 39' 16"""""
ACO 2199;;H 1627+396;Cluster of Galaxies;Hercules;"16h 28' 43""""";"39º 34' 08""""";;22' x 22';;;"16h 29' 35""""";"39º 30' 53"""""
LDN 884;;;Dark Nebula;Cygnus;"20h 05' 42""""";"41º 29' 00""""";;1.1º x 1.1º;;;"20h 06' 34""""";"41º 33' 24"""""
HCG 10;;;Compact Group of Galaxies;Andromeda;"01h 26' 25""""";"34º 42' 51""""";10.sty;11' x 11';45923;;"01h 27' 51""""";"34º 50' 40"""""
LBN 170;;LBN 071.67+01.46;HII Region;Cygnus;"20h 06' 00""""";"34º 36' 00""""";;1º x 50';;;"20h 06' 58""""";"34º 40' 25"""""
NGC 752;;CL MELOTTE 12,OCL 363,C 28;Open Cluster;Andromeda;"01h 56' 53""""";"37º 47' 38""""";05.lip;58' x 58';45861;;"01h 58' 24""""";"37º 54' 58"""""
LBN 1011;;LBN 217.73-15.13;HII Region;Monoceros;"06h 05' 00""""";"-11º 00' 00""""";;4º x 2º;;;"06h 06' 11""""";"-11º 00' 12"""""
LBN 605;;LBN 122.17-07.10;HII Region;Cassiopeia;"00h 46' 00""""";"55º 48' 00""""";;3º x 1.2º;;;"00h 47' 27""""";"55º 56' 14"""""
BARNARD 169;;;Dark Nebula;Cepheus;"21h 58' 54""""";"58º 45' 00""""";;1º x 1º;;;"21h 59' 44""""";"58º 52' 16"""""
LBN 945;;LBN 206.18-23.53;HII Region;Orion;"05h 15' 00""""";"-04º 54' 00""""";;1.5º x 1º;;;"05h 16' 15""""";"-04º 52' 23"""""
SH 2-154;;LBN 521,LBN 108.96+01.70;HII Region;Cepheus;"22h 51' 30""""";"61º 10' 00""""";;1º;;;"22h 52' 30""""";"61º 18' 03"""""
LDN 917;;;Dark Nebula;Cygnus;"20h 39' 55""""";"44º 08' 42""""";;48' x 38';;;"20h 40' 47""""";"44º 14' 07"""""
LDN 1626;;;Dark Nebula;Monoceros;"06h 44' 42""""";"07º 57' 00""""";;1.1º x 1.1º;;;"06h 46' 04""""";"07º 55' 21"""""
NGC 2281;;CL MELOTTE 51;Open Cluster;Auriga;"06h 48' 22""""";"41º 03' 36""""";05.kwi;50' x 50';21.0;;"06h 50' 08""""";"41º 01' 48"""""
SH 2-73;;LBN 105,LBN 037.59+44.76;HII Region;Hercules;"16h 10' 14""""";"21º 52' 08""""";;1.3º;;;"16h 11' 20""""";"21º 48' 16"""""
LBN 278;;LBN 080.16+04.05;HII Region;Cygnus;"20h 19' 00""""";"43º 12' 00""""";;30' x 20';;;"20h 19' 51""""";"43º 16' 48"""""
LBN 300;;LBN 081.27+03.92;HII Region;Cygnus;"20h 23' 00""""";"44º 00' 00""""";;1º x 10';;;"20h 23' 51""""";"44º 04' 56"""""
LBN 293;;LBN 080.92+02.11;HII Region;Cygnus;"20h 30' 00""""";"42º 42' 00""""";;50' x 40';;;"20h 30' 53""""";"42º 47' 08"""""
LDN 1264;;;Dark Nebula;Cepheus;"23h 52' 30""""";"68º 17' 00""""";;20' x 20';;;"23h 53' 45""""";"68º 25' 24"""""
LBN 331;;LBN 083.43+07.28;HII Region;Cygnus;"20h 14' 00""""";"47º 42' 00""""";;2º x 3';;;"20h 14' 47""""";"47º 46' 39"""""
LDN 1470;;;Dark Nebula;Perseus;"03h 43' 06""""";"31º 49' 00""""";;1.8º x 1.2º;;;"03h 44' 41""""";"31º 53' 42"""""
LBN 495;;LBN 105.17+13.40;Reflection Nebula;Cepheus;"21h 16' 00""""";"68º 24' 00""""";;12' x 8';;;"21h 16' 22""""";"68º 30' 21"""""
LDN 787;;;Dark Nebula;Vulpecula;"19h 53' 12""""";"22º 08' 00""""";;4.9º x 4.9º;;;"19h 54' 17""""";"22º 12' 00"""""
SH 2-263;;LBN 867;HII Region;Orion;"05h 21' 45""""";"08º 23' 57""""";;22';;;"05h 23' 07""""";"08º 25' 19"""""
LDN 1267;;;Dark Nebula;Cepheus;"00h 00' 36""""";"66º 47' 00""""";;9' x 9';;;"00h 01' 54""""";"66º 55' 25"""""
LDN 1031;;;Dark Nebula;Cygnus;"21h 46' 18""""";"47º 18' 00""""";;20' x 8';;;"21h 47' 15""""";"47º 25' 02"""""
LDN 1183;;;Dark Nebula;Cepheus;"21h 42' 06""""";"66º 14' 00""""";;18' x 18';;;"21h 42' 40""""";"66º 20' 56"""""
LDN 1463;;;Dark Nebula;Perseus;"04h 01' 18""""";"36º 53' 00""""";;10' x 10';;;"04h 02' 57""""";"36º 57' 08"""""
LBN 513;;LBN 107.80-00.34;HII Region;Cepheus;"22h 50' 00""""";"59º 00' 00""""";;50' x 30';;;"22h 51' 01""""";"59º 08' 02"""""
BARNARD 36;;;Dark Nebula;Orion;"05h 49' 00""""";"07º 24' 00""""";;2º x 2º;;;"05h 50' 22""""";"07º 24' 23"""""
LDN 938;;;Dark Nebula;Cygnus;"21h 08' 54""""";"42º 42' 00""""";;34' x 34';;;"21h 09' 50""""";"42º 48' 11"""""
LBN 740;;LBN 158.25-21.08;HII Region;Aries;"03h 27' 00""""";"30º 54' 00""""";;20' x 10';;;"03h 28' 33""""";"30º 59' 11"""""
ACO 262;;;Cluster of Galaxies;Andromeda;"01h 52' 50""""";"36º 08' 46""""";;22' x 22';;;"01h 54' 20""""";"36º 16' 10"""""
LDN 1086;;;Dark Nebula;Cepheus;"21h 28' 30""""";"57º 33' 00""""";;19' x 19';;;"21h 29' 15""""";"57º 39' 39"""""
SH 2-232;;LBN 805,LBN 173.48+03.24;HII Region;Auriga;"05h 42' 28""""";"36º 11' 24""""";;40';;;"05h 44' 10""""";"36º 12' 01"""""
LDN 1462;;;Dark Nebula;Perseus;"04h 00' 18""""";"36º 58' 00""""";;10' x 10';;;"04h 01' 57""""";"37º 02' 10"""""
OCL 150;;OCL 150.0,CL BIURAKAN 2;Open Cluster;Cygnus;"20h 09' 08""""";"35º 29' 18""""";;17' x 17';;;"20h 10' 05""""";"35º 33' 48"""""
LDN 1306;;;Dark Nebula;Cassiopeia;"01h 03' 06""""";"62º 16' 00""""";;3.3º x 3.3º;;;"01h 04' 41""""";"62º 24' 05"""""
LDN 944;;;Dark Nebula;Cygnus;"21h 17' 41""""";"43º 18' 06""""";;32' x 16';;;"21h 18' 38""""";"43º 24' 30"""""
BARNARD 318;;;Dark Nebula;Scutum;"18h 49' 42""""";"-06º 23' 00""""";;1º x 1º;;;"18h 51' 03""""";"-06º 21' 10"""""
LBN 951;;LBN 206.71-00.91;HII Region;Monoceros;"06h 37' 00""""";"05º 12' 00""""";;15' x 3';;;"06h 38' 20""""";"05º 10' 37"""""
LBN 468;;LBN 102.67+15.42;HII Region;Cepheus;"20h 42' 00""""";"67º 54' 00""""";;1º x 50';;;"20h 42' 14""""";"67º 59' 28"""""
BARNARD 145;;;Dark Nebula;Cygnus;"20h 02' 48""""";"37º 40' 00""""";;45' x 45';;;"20h 03' 43""""";"37º 44' 19"""""
NGC 1502;;OCL 383,OCL 383.0;Open Cluster;Camelopardalis;"04h 07' 49""""";"62º 19' 55""""";06.wrz;9.7' x 9.7';22.0;;"04h 10' 03""""";"62º 23' 50"""""
NGC 4762;;MCG +02-33-033,PGC 43733,UGC 8016,Z 71-65,Z 1250.4+1130;Lenticular Galaxy;Virgo;"12h 52' 56""""";"11º 13' 51""""";10.mar;9.1' x 3';45921;;"12h 54' 12""""";"11º 05' 40"""""
LBN 381;;LBN 086.28+04.98;HII Region;Cygnus;"20h 35' 00""""";"48º 42' 00""""";;1.7º x 30';;;"20h 35' 48""""";"48º 47' 17"""""
LDN 1238;;;Dark Nebula;Cassiopeia;"23h 32' 18""""";"59º 47' 00""""";;3.8º x 3.8º;;;"23h 33' 29""""";"59º 55' 21"""""
LDN 1107;;;Dark Nebula;Cygnus;"21h 56' 48""""";"54º 29' 00""""";;3.3º x 3.3º;;;"21h 57' 41""""";"54º 36' 14"""""
LDN 1459;;;Dark Nebula;Perseus;"04h 08' 24""""";"39º 38' 00""""";;3.1º x 3.1º;;;"04h 10' 06""""";"39º 41' 54"""""
LDN 569;;;Dark Nebula;Ophiuchus;"18h 18' 30""""";"01º 31' 00""""";;5.6º x 5.6º;;;"18h 19' 47""""";"01º 31' 42"""""
LBN 864;;LBN 194.20-01.99;HII Region;Orion;"06h 08' 52""""";"15º 42' 18""""";;30' x 10';;;"06h 10' 19""""";"15º 41' 57"""""
NGC 7243;;OCL 221.0,C 16,CL MELOTTE 240;Open Cluster;Lacerta;"22h 15' 09""""";"49º 49' 48""""";06.kwi;31' x 31';45769;;"22h 16' 09""""";"49º 57' 21"""""
LBN 558;;LBN 113.65+15.16;HII Region;Cepheus;"22h 21' 00""""";"75º 18' 00""""";;2.3º x 30';;;"22h 21' 24""""";"75º 25' 38"""""
NGC 2478;;;Open Cluster;Puppis;"07h 36' 35""""";"-14º 28' 47""""";04.kwi;25';45708;;"07h 37' 44""""";"-14º 32' 15"""""
SH 2-245;;LBN 839,LBN 187.35-34.86,IRAS 03587+0305;HII Region;Taurus;"04h 01' 20""""";"03º 13' 29""""";;12º;;;"04h 02' 40""""";"03º 17' 38"""""
NGC 2335;;OCL 562,CL MELOTTE 60;Open Cluster;Monoceros;"07h 06' 46""""";"-10º 01' 24""""";07.lut;13' x 13';45677;;"07h 07' 58""""";"-10º 03' 50"""""
LBN 862;;LBN 194.05-01.91;HII Region;Orion;"06h 09' 00""""";"15º 48' 00""""";;30' x 15';;;"06h 10' 27""""";"15º 47' 39"""""
SH 2-124;;LBN 426,LBN 094.79-01.77;HII Region;Cygnus;"21h 38' 26""""";"50º 23' 06""""";;13' x 6.2';;;"21h 39' 20""""";"50º 29' 58"""""
LBN 456;;LBN 099.88+04.30;HII Region;Cepheus;"21h 40' 00""""";"58º 18' 00""""";;10' x 3';;;"21h 40' 46""""";"58º 24' 54"""""
LDN 394;;;Dark Nebula;Serpens;"18h 21' 48""""";"-12º 14' 00""""";;1.2º x 1.2º;;;"18h 23' 13""""";"-12º 13' 11"""""
LBN 165;;LBN 071.06+06.32;HII Region;Cygnus;"19h 44' 00""""";"36º 36' 00""""";;3.3º x 30';;;"19h 44' 55""""";"36º 39' 42"""""
SH 2-221;;LBN 754,LBN 160.09+01.93;HII Region;Auriga;"05h 01' 42""""";"46º 20' 00""""";;2º;;;"05h 03' 34""""";"46º 22' 05"""""
LBN 210;;LBN 075.85-01.11;HII Region;Cygnus;"20h 28' 00""""";"36º 42' 00""""";;1.2º x 30';;;"20h 28' 57""""";"36º 47' 05"""""
LBN 528;;LBN 110.08+12.31;HII Region;Cepheus;"22h 05' 00""""";"70º 54' 00""""";;2º x 20';;;"22h 05' 31""""";"71º 01' 23"""""
LBN 247;;LBN 078.72-02.43;HII Region;Cygnus;"20h 42' 00""""";"38º 12' 00""""";;1.7º x 20';;;"20h 42' 57""""";"38º 17' 29"""""
NGC 2232;;;Open Cluster;Monoceros;"06h 27' 33""""";"-04º 44' 56""""";04.lut;1º x 1º;45678;;"06h 28' 48""""";"-04º 45' 58"""""
IC 5076;;LBN 394,LBN 087.47+01.41,CED 185;Reflection Nebula;Cygnus;"20h 56' 00""""";"47º 24' 00""""";;9' x 7';;;"20h 56' 51""""";"47º 29' 51"""""
LBN 761;;LBN 161.59-20.85;HII Region;Taurus;"03h 39' 00""""";"29º 12' 00""""";;2.3º x 30';;;"03h 40' 33""""";"29º 16' 50"""""
LDN 1472;;;Dark Nebula;Perseus;"03h 41' 06""""";"31º 10' 00""""";;1.9º x 1.9º;;;"03h 42' 40""""";"31º 14' 46"""""
LDN 1159;;;Dark Nebula;Cepheus;"22h 06' 42""""";"58º 35' 00""""";;1.7º x 1.7º;;;"22h 07' 33""""";"58º 42' 25"""""
