Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
LDN 1545;;;Dark Nebula;Taurus;"05h 15' 18""""";"26º 43' 00""""";;14' x 14';;;"05h 16' 52""""";"26º 44' 36"""""
LDN 238;;;Dark Nebula;Ophiuchus;"16h 35' 42""""";"-08º 46' 00""""";;14' x 14';;;"16h 37' 04""""";"-08º 49' 00"""""
ACO 68;;ZWCL 190;Cluster of Galaxies;Pisces;"00h 37' 06""""";"09º 09' 33""""";;12' x 12';;;"00h 38' 25""""";"09º 17' 51"""""
LBN 88;;LBN 027.67+23.44;Reflection Nebula;Ophiuchus;"17h 18' 00""""";"06º 06' 00""""";;12' x 8';;;"17h 19' 14""""";"06º 04' 29"""""
LDN 1122;;;Dark Nebula;Cepheus;"20h 32' 42""""";"65º 20' 00""""";;12' x 12';;;"20h 33' 02""""";"65º 25' 12"""""
LDN 1619;;;Dark Nebula;Orion;"06h 04' 39""""";"04º 09' 54""""";;12' x 12';;;"06h 05' 59""""";"04º 09' 42"""""
LDN 800;;;Dark Nebula;Vulpecula;"19h 44' 06""""";"26º 47' 00""""";;12' x 12';;;"19h 45' 08""""";"26º 50' 42"""""
ACO 1139;;;Cluster of Galaxies;Leo;"10h 58' 02""""";"01º 38' 05""""";;11' x 11';;;"10h 59' 19""""";"01º 29' 59"""""
CL CZERNIK 2;;OCL 304.0;Open Cluster;Cassiopeia;"00h 43' 48""""";"60º 11' 48""""";;10' x 10';;;"00h 45' 17""""";"60º 20' 03"""""
ACO 2255;;;Cluster of Galaxies;Draco;"17h 12' 50""""";"64º 03' 11""""";;10' x 10';;;"17h 13' 00""""";"64º 01' 28"""""
CL CZERNIK 41;;;Open Cluster;Vulpecula;"19h 51' 01""""";"25º 17' 24""""";;10' x 10';;;"19h 52' 04""""";"25º 21' 20"""""
LBN 485;;LBN 103.71+02.17;HII Region;Cepheus;"22h 13' 00""""";"58º 54' 00""""";;10' x 5';;;"22h 13' 52""""";"59º 01' 31"""""
LBN 792;;LBN 172.09-09.72;HII Region;Taurus;"04h 48' 00""""";"29º 48' 00""""";;10' x 6';;;"04h 49' 36""""";"29º 50' 34"""""
LDN 1377;;;Dark Nebula;Cassiopeia;"03h 15' 06""""";"61º 01' 00""""";;10' x 10';;;"03h 17' 09""""";"61º 06' 31"""""
LDN 1404;;;Dark Nebula;Camelopardalis;"04h 30' 00""""";"55º 17' 00""""";;10' x 10';;;"04h 32' 02""""";"55º 20' 11"""""
LDN 1441;;;Dark Nebula;Perseus;"04h 00' 06""""";"41º 33' 00""""";;10' x 10';;;"04h 01' 49""""";"41º 37' 11"""""
LDN 1589;;;Dark Nebula;Orion;"05h 18' 18""""";"07º 23' 00""""";;10' x 10';;;"05h 19' 40""""";"07º 24' 30"""""
LDN 775;;;Dark Nebula;Vulpecula;"19h 23' 36""""";"23º 26' 00""""";;10' x 6';;;"19h 24' 40""""";"23º 29' 01"""""
NGC 1896;;;Asterism;Auriga;"05h 25' 42""""";"29º 18' 00""""";;10';;;"05h 27' 18""""";"29º 19' 14"""""
LDN 982;;;Dark Nebula;Cygnus;"21h 02' 00""""";"50º 00' 00""""";;9' x 9';;;"21h 02' 49""""";"50º 06' 01"""""
